County,State,None,D0,D1,D2,D3,D4
Abbeville County,SC,72.16754716981133,27.83245283018868,23.869056603773583,7.459245283018867,0.0,0.0
Acadia Parish,LA,45.74566037735849,54.25433962264151,49.056603773584904,43.20924528301887,31.88320754716981,26.57188679245283
Accomack County,VA,23.951886792452832,76.04811320754717,53.100188679245285,5.6211320754716985,0.0,0.0
Ada County,ID,71.28528301886793,28.714716981132078,7.125660377358491,0.0,0.0,0.0
Adair County,IA,15.05622641509434,84.94377358490567,55.928679245283014,27.020188679245283,2.240754716981132,0.0
Adair County,KY,64.14999999999999,35.85,24.126415094339624,12.866603773584908,0.0,0.0
Adair County,MO,20.689811320754718,79.31018867924527,61.732264150943394,43.91301886792453,8.348867924528301,0.0
Adair County,OK,76.22339622641509,23.776603773584906,0.07245283018867925,0.0,0.0,0.0
Adams County,CO,62.79301886792453,37.20698113207547,25.257358490566034,1.2933962264150942,0.0,0.0
Adams County,IA,16.27566037735849,83.72433962264151,50.751132075471695,24.86754716981132,0.0,0.0
Adams County,ID,32.4111320754717,67.5888679245283,39.17754716981132,0.0,0.0,0.0
Adams County,IL,18.250943396226415,81.74905660377358,61.22264150943396,22.912075471698113,1.7262264150943396,0.0
Adams County,IN,53.59339622641509,46.40660377358491,17.03490566037736,0.0,0.0,0.0
Adams County,MS,44.579433962264154,55.420566037735846,37.735849056603776,35.84905660377358,33.95981132075472,22.738867924528304
Adams County,ND,58.60641509433962,41.39358490566038,37.00056603773585,0.0,0.0,0.0
Adams County,NE,0.0,100.0,100.0,92.37735849056604,45.76471698113208,3.3781132075471696
Adams County,OH,65.3088679245283,34.6911320754717,14.27245283018868,0.0,0.0,0.0
Adams County,PA,32.43603773584906,67.56396226415094,27.787169811320755,0.0,0.0,0.0
Adams County,WA,37.77301886792453,62.22698113207547,30.78622641509434,4.274339622641509,0.0,0.0
Adams County,WI,42.10849056603774,57.89150943396226,53.87056603773585,40.1611320754717,9.98622641509434,0.0
Addison County,VT,90.20698113207547,9.793018867924527,0.0,0.0,0.0,0.0
Adjuntas Municipio,PR,75.19358490566039,24.806415094339624,5.888301886792452,0.0,0.0,0.0
Aguada Municipio,PR,39.600754716981136,60.399245283018864,18.867924528301888,0.0,0.0,0.0
Aguadilla Municipio,PR,17.485849056603772,82.51415094339623,19.068301886792455,0.0,0.0,0.0
Aguas Buenas Municipio,PR,51.70773584905661,48.2922641509434,0.0,0.0,0.0,0.0
Aibonito Municipio,PR,66.15924528301886,33.84075471698113,0.13962264150943396,0.0,0.0,0.0
Aiken County,SC,97.10264150943395,2.8973584905660377,0.0,0.0,0.0,0.0
Aitkin County,MN,41.509433962264154,58.490566037735846,52.38792452830189,26.605849056603773,6.737924528301887,0.47490566037735854
Alachua County,FL,44.210566037735845,55.789433962264155,27.835471698113206,3.639056603773585,0.0,0.0
Alamance County,NC,70.6111320754717,29.3888679245283,12.182830188679246,1.5939622641509434,0.0,0.0
Alameda County,CA,79.24528301886792,20.754716981132077,16.9811320754717,3.6732075471698113,0.5558490566037735,0.0
Alamosa County,CO,30.45490566037736,69.54509433962264,43.24132075471698,27.932264150943396,6.513584905660378,0.0
