"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0015028","Louisiana",32.74986208,-92.12016604,"operating",2024,"production","gas","2020.0",42.681127,"million m³/y"
"OG0015042","Federal offshore",28.089,-90.186,"operating",2023,"production","gas","2023.0",131.3350418,"million m³/y"
"OG0015045","Federal offshore",28.79175,-89.05575,"operating",2023,"production","gas","2020.0",71.405635,"million m³/y"
"OG0015105","West Virginia",39.57679151,-80.65558074,"operating",2023,"production","gas","2020.0",3047.461719,"million m³/y"
"OG0015101","West Virginia",39.884158,-80.6869647,"operating",2023,"production","gas","2023.0",1320.601478,"million m³/y"
"OG0015108","West Virginia",39.43567661,-80.82930911,"operating",2021,"production","gas","2020.0",734.9071873,"million m³/y"
"OG0015150","Louisiana",32.3030926,-93.91913165,"operating",2024,"production","gas","2020.0",928.9887017,"million m³/y"
"OG0015152","Louisiana",32.2045416,-93.64825751,"operating",2024,"production","gas","2022.0",384.8619567,"million m³/y"
"OG0015157","Colorado",40.28533642,-104.8802645,"operating",2024,"production","gas","2024.0",1723.472264,"million m³/y"
"OG0015146","Colorado",37.19143292,-104.7824066,"operating",2024,"production","gas","2024.0",601.8369531,"million m³/y"
"OG0015159","Federal offshore",26.401,-91.3575,"operating",2023,"production","gas","2022.0",37.5736939,"million m³/y"
"OG0015160","Federal offshore",26.945,-94.705,"operating",2023,"production","gas","2023.0",11.06838454,"million m³/y"
"OG0015226","Louisiana",32.45727938,-93.59763843,"operating",2020,"production","gas","2020.0",624.201614,"million m³/y"
"OG0015235","Louisiana",31.79197197,-93.6019469,"operating",2020,"production","gas","2020.0",31.00164236,"million m³/y"
"OG0015240","Louisiana",32.03483196,-93.49704315,"operating",2022,"production","gas","2022.0",24.22429563,"million m³/y"
"OG0015257","Ohio",39.75739225,-81.08653687,"operating",2020,"production","gas","2019.0",2074.820784,"million m³/y"
"OG0015333","Louisiana",29.95192083,-91.32280194,"operating",2022,"production","gas","2022.0",375.6271556,"million m³/y"
"OG0015337","Colorado",40.36473712,-104.3549411,"operating",2024,"production","gas","2024.0",214.8825711,"million m³/y"
"OG0015322","Federal offshore",27.472,-90.57633333,"operating",2023,"production","gas","2022.0",126.0362452,"million m³/y"
"OG0015390","Louisiana",29.71941387,-91.49081195,"operating",2024,"production","gas","2022.0",44.68458162,"million m³/y"
"OG0015391","Louisiana",29.11971228,-89.39681889,"operating",2024,"production","gas","2020.0",10.58003681,"million m³/y"
"OG0015398","Louisiana",29.24629198,-89.409263,"operating",2024,"production","gas","2022.0",4.083562226,"million m³/y"
"OG0015401","Louisiana",30.00637434,-93.04584734,"operating",2024,"production","gas","2022.0",27.53886451,"million m³/y"
"OG0015404","Louisiana",29.15997451,-89.46575478,"operating",2024,"production","gas","2022.0",2.450686677,"million m³/y"
"OG0015460","Louisiana",32.05808161,-93.96253774,"operating",2020,"production","gas","2020.0",599.2008495,"million m³/y"
"OG0015464","Louisiana",32.0427497,-93.89347827,"operating",2020,"production","gas","2020.0",323.5053377,"million m³/y"
"OG0015465","Louisiana",32.02815509,-93.85926447,"operating",2020,"production","gas","2020.0",283.6758035,"million m³/y"
"OG0015471","Louisiana",31.85712606,-93.76783184,"operating",2020,"production","gas","2020.0",22.49055642,"million m³/y"
"OG0015524","Federal offshore",28.247,-88.82,"operating",2023,"production","gas","2022.0",112.4945774,"million m³/y"
"OG0015485","West Virginia",39.41666667,-81.08333333,"operating",2023,"production","gas","2020.0",158.588107,"million m³/y"
"OG0015539","Colorado",39.23569224,-107.7676528,"operating",2024,"production","gas","2024.0",75.3234886,"million m³/y"
"OG0015506","Colorado",40.16590216,-104.8173946,"operating",2024,"production","gas","2024.0",5625.731446,"million m³/y"
"OG0015604","Federal offshore",26.168,-92.133,"operating",2023,"production","gas","2020.0",57.99272264,"million m³/y"
"OG0015525","Federal offshore",28.476,-88.137,"operating",2023,"production","gas","2023.0",16.79510123,"million m³/y"
