"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0015403","Louisiana",29.45811672,-91.92797892,"operating",2024,"production","oil","2022.0",0.033131,"million bbl/y"
"OG0015404","Louisiana",29.15997451,-89.46575478,"operating",2024,"production","oil","2023.0",0.11363,"million bbl/y"
"OG0015523","Federal offshore",28.782,-88.0665,"operating",2023,"production","oil","2020.0",4.995672,"million bbl/y"
"OG0015524","Federal offshore",28.247,-88.82,"operating",2023,"production","oil","2020.0",3.866293,"million bbl/y"
"OG0015484","West Virginia",39.4589819,-80.76459329,"operating",2023,"production","oil","2020.0",0.088208,"million bbl/y"
"OG0015485","West Virginia",39.41666667,-81.08333333,"operating",2023,"production","oil","2021.0",0.082359,"million bbl/y"
"OG0015604","Federal offshore",26.168,-92.133,"operating",2023,"production","oil","2020.0",8.742632,"million bbl/y"
"OG0015746","Federal offshore",28.563,-88.237,"operating",2023,"production","oil","2020.0",1.798522,"million bbl/y"
"OG0015606","Federal offshore",28.466,-89.025,"operating",2023,"production","oil","2020.0",0.786292,"million bbl/y"
"OG0015749","Federal offshore",28.3935,-89.4665,"operating",2023,"production","oil","2022.0",0.664446,"million bbl/y"
"OG0015677","Louisiana",29.91040164,-91.12593106,"operating",2022,"production","oil","2020.0",0.010294,"million bbl/y"
"OG0015947","Louisiana",30.76182787,-92.44884813,"operating",2022,"production","oil","2020.0",0.178076,"million bbl/y"
"OG0015912","Louisiana",30.13351628,-92.71570445,"operating",2024,"production","oil","2022.0",0.006578,"million bbl/y"
"OG0016123","Louisiana",29.07901052,-90.31017573,"operating",2022,"production","oil","2022.0",0.174945,"million bbl/y"
"OG0016206","Federal offshore",28.176,-88.98666667,"operating",2023,"production","oil","2023.0",7.831485,"million bbl/y"
"OG0016207","Federal offshore",26.4805,-90.775,"operating",2023,"production","oil","2022.0",11.950462,"million bbl/y"
"OG0016209","Federal offshore",27.55033333,-92.43233333,"operating",2023,"production","oil","2022.0",3.511695,"million bbl/y"
"OG0016303","Louisiana",30.94806105,-92.51582312,"operating",2022,"production","oil","2022.0",0.09589,"million bbl/y"
"OG0016333","Louisiana",31.60132579,-92.62267917,"operating",2024,"production","oil","2023.0",0.13325,"million bbl/y"
"OG0016343","West Virginia",40.08223565,-80.57937574,"operating",2023,"production","oil","2023.0",3.529497,"million bbl/y"
"OG0016361","Federal offshore",27.7055,-91.118,"operating",2023,"production","oil","2023.0",4.814314,"million bbl/y"
"OG0016362","Federal offshore",28.9598,-88.6084,"operating",2023,"production","oil","2020.0",2.070217,"million bbl/y"
"OG0016364","Federal offshore",28.859,-88.958,"operating",2023,"production","oil","2022.0",0.915137,"million bbl/y"
"OG0016365","Federal offshore",29.06525,-88.06925,"operating",2023,"production","oil","2020.0",0.532336,"million bbl/y"
"OG0016423","Louisiana",29.39346926,-90.29592936,"operating",2024,"production","oil","2023.0",0.241763,"million bbl/y"
"OG0016411","Colorado",39.49807458,-107.8784541,"operating",2024,"production","oil","2020.0",0.278928,"million bbl/y"
"OG0016413","Colorado",39.46417795,-108.0971334,"operating",2024,"production","oil","2020.0",0.074751,"million bbl/y"
"OG0016415","Colorado",39.90865112,-108.3638157,"operating",2024,"production","oil","2020.0",0.068234,"million bbl/y"
"OG0016426","Louisiana",29.57187095,-89.12764515,"operating",2024,"production","oil","2023.0",0.495311,"million bbl/y"
"OG0016427","Louisiana",29.80922183,-91.80156296,"operating",2024,"production","oil","2023.0",0.280817,"million bbl/y"
"OG0016429","Louisiana",29.24088,-89.18350552,"operating",2024,"production","oil","2023.0",0.239696,"million bbl/y"
"OG0016430","Louisiana",29.60421631,-91.52960632,"operating",2024,"production","oil","2023.0",0.160723,"million bbl/y"
"OG0016446","Louisiana",32.63674249,-92.7432674,"operating",2024,"production","oil","2022.0",0.04916,"million bbl/y"
"OG0016448","Louisiana",32.58047691,-92.68404841,"operating",2024,"production","oil","2020.0",0.002001,"million bbl/y"
"OG0016454","Louisiana",32.77579731,-93.91110416,"operating",2024,"production","oil","2023.0",0.150961,"million bbl/y"
"OG0016496","West Virginia",39.75347505,-80.7782858,"operating",2021,"production","oil","2021.0",2.474495,"million bbl/y"
