County,GEOID,Latitude,Longitude,geometry,Gas Production Quantity,Oil Production Quantity,Wind Plant Capacity,Wildfire Hazard Potential Score,Drought Risk Score
,48479,28.06745463,-99.81808898,POINT (-99.81808898 28.06745463),0.6870055254199625,,,10.1,0.02862
,48479,28.06875156,-99.82298996,POINT (-99.82298996 28.06875156),0.4583920202782948,,,10.1,0.02862
,,28.075,-90.538,POINT (-90.538 28.075),0.3658545654744016,,,,
,,28.0855,-90.006,POINT (-90.006 28.0855),0.3651483507643435,,,,
,,28.089,-90.186,POINT (-90.186 28.089),0.4126692113821679,0.347945417093999,,,
,48479,28.09463617,-99.40312438,POINT (-99.40312438 28.09463617),0.5454206843596698,,,10.1,0.02862
,48479,28.10616352,-99.74508093,POINT (-99.74508093 28.10616352),0.5576662123160134,,,10.1,0.02862
,48479,28.1507789,-99.54914528,POINT (-99.54914528 28.1507789),0.4767890046881582,,,10.1,0.02862
,,28.1518,-89.9544,POINT (-89.9544 28.1518),0.4083179218918595,0.3657685544798008,,,
,,28.152,-89.56,POINT (-89.56 28.152),0.3013832548793925,,,,
,48479,28.16122506,-99.87450201,POINT (-99.87450201 28.16122506),0.4842902338385665,,,10.1,0.02862
San Patricio County,48409,28.1738,-97.811,POINT (-97.811 28.1738),,,0.7029909723000485,8.9,0.06927
,,28.176,-88.98666667,POINT (-88.98666667 28.176),,0.4757970813198359,,,
,,28.211,-88.5525,POINT (-88.5525 28.211),,0.5495367549511929,,,
,,28.213,-88.282,POINT (-88.282 28.213),,0.1633611461909894,,,
,,28.22,-91.70625,POINT (-91.70625 28.22),0.3695315797682389,0.2152733552754943,,,
,,28.247,-88.82,POINT (-88.82 28.247),0.3966492567326958,0.3456186723222197,,,
Bee County,48025,28.2479,-97.5212,POINT (-97.5212 28.2479),,,0.6684799364694083,18.7,0.172927123705445
,,28.26466667,-88.88966667,POINT (-88.88966667 28.26466667),,0.3175030561562594,,,
,,28.3015,-88.2095,POINT (-88.2095 28.3015),,0.3630504853114569,,,
,48283,28.32402407,-98.89506014,POINT (-98.89506014 28.32402407),0.4781899087400378,,,17.7,0.09536
,48127,28.33045143,-99.71557861,POINT (-99.71557861 28.33045143),0.6857097652801116,,,11.8,0.05036
,48311,28.33050904,-98.76503622,POINT (-98.76503622 28.33050904),0.7096133620892695,,,12.4,0.0916067146282974
,,28.362,-90.202,POINT (-90.202 28.362),0.5345458096960706,,,,
,,28.369,-87.939,POINT (-87.939 28.369),0.4990704670629151,,,,
,,28.3935,-89.4665,POINT (-89.4665 28.3935),,0.1112851245623296,,,
,48127,28.40277417,-99.91513654,POINT (-99.91513654 28.40277417),0.4427672358442821,,,11.8,0.05036
,48127,28.41087758,-99.61095558,POINT (-99.61095558 28.41087758),0.4577810888788537,,,11.8,0.05036
,48283,28.43294327,-99.18388497,POINT (-99.18388497 28.43294327),0.5118395948339033,,,17.7,0.09536
,48311,28.43800591,-98.77107269,POINT (-98.77107269 28.43800591),0.4538171233069004,,,12.4,0.0916067146282974
,,28.4435,-89.0735,POINT (-89.0735 28.4435),,0.0218876255523941,,,
,,28.4535,-88.236,POINT (-88.236 28.4535),0.3097714957034251,0.2245108647281816,,,
,,28.462,-88.121,POINT (-88.121 28.462),0.4150798079017732,0.3219306044196057,,,
,,28.466,-89.025,POINT (-89.025 28.466),0.3516403968863199,0.126716667026265,,,
,,28.476,-88.137,POINT (-88.137 28.476),0.2033823853336183,,,,
,48283,28.51606075,-98.83999281,POINT (-98.83999281 28.51606075),0.3964705913018959,,,17.7,0.09536
,48283,28.53293184,-99.11200756,POINT (-99.11200756 28.53293184),0.4721063192282485,,,17.7,0.09536
,,28.561,-88.434,POINT (-88.434 28.561),,0.340681647115141,,,
,,28.563,-88.237,POINT (-88.237 28.563),,0.2247778013402091,,,
,,28.608,-88.0155,POINT (-88.0155 28.608),0.5462258312291186,,,,
,48283,28.60847798,-99.14637073,POINT (-99.14637073 28.60847798),0.2426384747186812,,,17.7,0.09536
,,28.609,-87.9165,POINT (-87.9165 28.609),0.3921555162008195,,,,
Bee County,48025,28.6245,-97.9375,POINT (-97.9375 28.6245),,,0.6841548923703402,18.7,0.172927123705445
,48283,28.62602642,-98.86402269,POINT (-98.86402269 28.62602642),0.2328792154335794,,,17.7,0.09536
,48013,28.66097349,-98.70660111,POINT (-98.70660111 28.66097349),0.2923851530939712,,,28.8,0.32710310752828
,48297,28.67840617,-98.17184763,POINT (-98.17184763 28.67840617),0.4795325564441249,,,16.0,0.123898082910044
,48013,28.68649442,-98.42044845,POINT (-98.42044845 28.68649442),0.3846983499892827,,,28.8,0.32710310752828
,,28.687,-90.313,POINT (-90.313 28.687),0.4692418845961383,0.015242154393627,,,
,48013,28.70236617,-98.28682698,POINT (-98.28682698 28.70236617),0.3919415421199155,,,28.8,0.32710310752828
,48255,28.71038719,-97.96820862,POINT (-97.96820862 28.71038719),0.5388069469689849,,,12.9,0.205203164152705
,48163,28.71251789,-98.81516524,POINT (-98.81516524 28.71251789),0.2862487966295498,,,27.8,0.192202751969893
,48255,28.73709423,-98.0079158,POINT (-98.0079158 28.73709423),0.6111798760345967,,,12.9,0.205203164152705
,48255,28.76574625,-97.9569424,POINT (-97.9569424 28.76574625),0.6705019485959879,,,12.9,0.205203164152705
,,28.782,-88.0665,POINT (-88.0665 28.782),,0.3912048509093581,,,
